0.00000 	 -8.332214e+02 	 -8.332214e+02 	 0.000000e+00 
25.60000 	 5.757286e+05 	 2.491081e+03 	 5.732375e+05 
25.60000 	 2.480003e+06 	 2.493685e+03 	 2.477509e+06 
25.60000 	 3.454193e+06 	 2.554143e+03 	 3.451639e+06 
25.60000 	 5.305498e+06 	 3.929066e+03 	 5.301569e+06 
25.60000 	 7.967626e+06 	 2.241203e+03 	 7.965385e+06 
25.60000 	 8.639547e+06 	 2.548437e+03 	 8.636998e+06 
25.60000 	 9.564486e+06 	 2.107269e+03 	 9.562379e+06 
25.60000 	 1.125509e+07 	 2.725404e+03 	 1.125237e+07 
25.60000 	 1.279970e+07 	 2.734380e+03 	 1.279697e+07 
25.60000 	 1.417268e+07 	 2.659456e+03 	 1.417003e+07 
25.60000 	 1.673145e+07 	 3.110768e+03 	 1.672833e+07 
25.60000 	 2.027470e+07 	 2.588388e+03 	 2.027211e+07 
25.60000 	 2.189331e+07 	 2.261558e+03 	 2.189105e+07 
25.60000 	 2.238587e+07 	 2.546611e+03 	 2.238333e+07 
25.60000 	 3.643290e+07 	 4.308124e+03 	 3.642859e+07 
25.60000 	 7.322685e+07 	 2.246316e+03 	 7.322461e+07 
25.60000 	 7.412659e+07 	 2.280076e+03 	 7.412431e+07 
25.60000 	 7.577586e+07 	 2.943952e+03 	 7.577292e+07 
25.60000 	 7.665981e+07 	 2.250238e+03 	 7.665755e+07 
25.60000 	 7.882653e+07 	 2.826448e+03 	 7.882371e+07 
25.60000 	 8.261744e+07 	 2.390687e+03 	 8.261505e+07 
25.60000 	 8.424680e+07 	 2.529300e+03 	 8.424427e+07 
25.60000 	 8.528163e+07 	 2.849754e+03 	 8.527878e+07 
25.60000 	 9.205632e+07 	 3.116701e+03 	 9.205320e+07 
25.60000 	 9.733705e+07 	 2.479954e+03 	 9.733457e+07 
25.60000 	 9.751835e+07 	 2.703756e+03 	 9.751564e+07 
25.60000 	 1.001837e+08 	 2.803014e+03 	 1.001809e+08 
25.60000 	 1.036708e+08 	 2.376650e+03 	 1.036684e+08 
25.60000 	 1.048495e+08 	 2.427735e+03 	 1.048471e+08 
25.60000 	 1.076469e+08 	 2.707037e+03 	 1.076442e+08 
25.60000 	 1.101534e+08 	 2.393534e+03 	 1.101510e+08 
25.60000 	 1.104197e+08 	 1.975067e+03 	 1.104177e+08 
25.60000 	 1.122714e+08 	 2.707923e+03 	 1.122687e+08 
25.60000 	 1.194148e+08 	 2.602755e+03 	 1.194122e+08 
25.60000 	 1.185910e+08 	 2.501565e+03 	 1.185885e+08 
25.60000 	 1.187684e+08 	 2.039634e+03 	 1.187663e+08 
25.60000 	 1.202282e+08 	 2.692321e+03 	 1.202255e+08 
25.60000 	 1.232771e+08 	 2.125683e+03 	 1.232750e+08 
25.60000 	 1.259430e+08 	 2.160439e+03 	 1.259409e+08 
25.60000 	 1.285677e+08 	 2.134064e+03 	 1.285656e+08 
25.60000 	 1.305475e+08 	 2.355930e+03 	 1.305452e+08 
25.60000 	 1.305370e+08 	 2.490963e+03 	 1.305345e+08 
25.60000 	 1.306106e+08 	 2.482925e+03 	 1.306081e+08 
25.60000 	 1.334280e+08 	 2.388712e+03 	 1.334256e+08 
25.60000 	 1.355716e+08 	 2.277022e+03 	 1.355693e+08 
25.60000 	 1.380471e+08 	 2.216059e+03 	 1.380449e+08 
25.60000 	 1.387405e+08 	 2.891253e+03 	 1.387376e+08 
25.60000 	 1.401496e+08 	 2.512493e+03 	 1.401470e+08 
25.60000 	 1.408406e+08 	 2.328276e+03 	 1.408383e+08 
25.60000 	 1.412280e+08 	 2.468028e+03 	 1.412255e+08 
25.60000 	 1.444470e+08 	 3.170408e+03 	 1.444438e+08 
25.60000 	 1.546355e+08 	 2.485514e+03 	 1.546330e+08 
25.60000 	 1.565856e+08 	 2.179873e+03 	 1.565834e+08 
25.60000 	 1.588428e+08 	 2.403556e+03 	 1.588404e+08 
25.60000 	 1.605262e+08 	 3.100249e+03 	 1.605231e+08 
25.60000 	 1.625163e+08 	 2.838988e+03 	 1.625134e+08 
25.60000 	 1.654405e+08 	 2.933212e+03 	 1.654376e+08 
25.60000 	 1.679942e+08 	 2.621781e+03 	 1.679916e+08 
25.60000 	 1.705470e+08 	 2.460058e+03 	 1.705446e+08 
25.60000 	 1.700060e+08 	 2.429119e+03 	 1.700036e+08 
25.60000 	 1.732102e+08 	 2.932610e+03 	 1.732073e+08 
25.60000 	 1.834601e+08 	 2.900702e+03 	 1.834572e+08 
25.60000 	 1.932596e+08 	 3.772185e+03 	 1.932559e+08 
25.60000 	 2.006852e+08 	 2.612186e+03 	 2.006826e+08 
25.60000 	 2.036002e+08 	 1.994933e+03 	 2.035982e+08 
25.60000 	 2.042116e+08 	 2.473763e+03 	 2.042091e+08 
25.60000 	 2.034666e+08 	 2.278283e+03 	 2.034643e+08 
25.60000 	 2.019998e+08 	 2.887512e+03 	 2.019969e+08 
25.60000 	 2.045178e+08 	 2.548715e+03 	 2.045152e+08 
25.60000 	 2.074385e+08 	 2.594388e+03 	 2.074359e+08 
25.60000 	 1.905217e+08 	 2.891346e+03 	 1.905188e+08 
25.60000 	 1.951623e+08 	 2.327602e+03 	 1.951600e+08 
25.60000 	 1.976339e+08 	 3.194189e+03 	 1.976307e+08 
25.60000 	 2.001737e+08 	 2.305859e+03 	 2.001714e+08 
25.60000 	 1.999138e+08 	 2.459236e+03 	 1.999113e+08 
25.60000 	 2.004766e+08 	 2.539107e+03 	 2.004740e+08 
